Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/19/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Congo, Dem. Rep.",COD,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,7.107798434,7.360592061,10.98924382,13.32232951,16.06415439,20.01923965,30.7056908,30.38270554,29.37577425,30.32179721,33.83029063,41.75700923,38.40277556,49.9063547,69.22482525,90.4646843,90.02091718,124.7175002,105.4514051,110.4000513,119.4798523,140.6680392,146.9209229,111.8543813,239.9665964,271.2220508,237.4734337,216.8398056,226.4046269,283.9147403,63.12583477,164.4361524,119.2314518,131.2548143,115.365176,93.25276711,81.00506058,77.37414583,66.61600032,73.29873192,27.50926377,20.9235493,19.04492742,21.05397239,17.15273891,15.61204827,14.35765007,14.32252353,14.40316393,14.7368783,17.86376971,19.65547758,17.15258666,18.49903859,18.25386802
"Congo, Rep.",COG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,44.31037652,44.42121869,39.11951073,36.2479555,45.74095864,48.4101417,53.15824005,79.55493237,94.99819822,95.58082441,98.89168049,79.390989,96.87811357,105.2755402,99.80633924,150.2581676,186.3123051,183.3202226,212.4439035,208.6698548,211.5478317,210.0380344,184.9265331,235.5486185,357.4810646,489.2969314,358.803249,302.9560849,344.9387015,305.5644842,205.0058385,244.7753777,229.5492954,214.3050045,215.7695986,124.8013991,97.76895571,71.65875648,51.27248666,56.40022258,22.88009911,22.65368281,21.42247026,23.94151043,31.48183859,54.78793296,63.24524938,71.30777175,50.48951602,66.81256675,72.1017777,61.86504962,51.98459418,47.22866507,44.89624095
Colombia,COL,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,33.2661484,34.47904705,34.98722923,32.92466654,28.84848229,30.79607197,27.5196077,27.31884,23.06274691,21.90649648,21.52164869,24.85891841,27.6844229,31.02634758,33.46444476,43.57274452,46.94519174,50.13250015,45.94450115,45.85073683,38.23346613,36.57406627,31.28141347,29.80248907,27.69996591,27.88461163,30.71444599,30.93771994,34.52914744,41.03134955,35.13070353,38.22853578,35.23214106,40.83051733,33.83054658,26.42884546,24.52256156,22.17557051,20.09143831,23.79760512,23.299456,23.74433184,22.22977398,25.11729909,28.2553484,39.15513124,43.23644642,41.18133,40.93530236,44.01448162,58.19527643,54.57025307,55.29016043,54.96981442,49.20386998
Comoros,COM,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,20.66119685,27.90023054,37.35261022,44.89588871,56.93076655,68.63303582,59.98562827,60.42144707,56.40492064,50.96597867,43.0911231,42.36871483,40.73522516,40.71299951,61.68158649,52.29952564,55.72413884,60.93878425,62.1639891,60.5064521,66.08806187,64.01136641,63.62464909,53.1575345,48.17785675,44.2556368,42.09853856,36.08356541,30.22318612,31.71861129,30.6874148,26.97110482,24.88000441,12.77015492,11.85288497,12.9348444,17.18522727,16.7806633,22.36300097,22.54843693,24.76313575,26.92749401,28.15385379,26.54765348,24.81171988
Cabo Verde,CPV,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,28.12741838,43.3442647,54.47975818,59.79390159,71.01938758,60.27990442,55.11682021,46.91539902,46.56679403,43.26188581,41.81622466,39.61425349,30.03198887,43.30453127,44.18657111,40.72477109,42.40658407,47.78550024,56.3006616,60.87574177,62.05080602,64.03116717,55.26185286,51.19239882,50.87300333,49.32824684,35.8772938,32.73839043,40.04723408,50.51911174,52.77049433,87.44619437,100.2111071,95.05172802,108.8987408,102.6269204,109.2652882,96.87871446,97.44329452,136.237789,121.4066069,108.2757483,98.13893515,86.88661448
Costa Rica,CRI,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
